,,,Auto,Auto,Teleop,Teleop,Teleop,Teleop,,
Team Number,Match,Position,SHOOTING,L1,SHOOTING,L1,L2,L3,Score,Notes
973,33,R1,72.01077953,0,236.266425,0,0,0,308.2772045,struggles over bump
"2,713",33,B3,0,0,90.54101824,0,0,0,90.54101824,
"1,807",33,B1,18.32071828,0,33.94045389,0,0,0,52.26117217,
"3,044",33,R3,0,0,37.72232615,0,0,0,37.72232615,
695,33,R2,39.98922047,0,182.0112489,0,0,0,222.0004694,
"1,922",34,B2,0,0,248.2936071,0,0,0,248.2936071,
"2,370",34,R1,0,0,79.40854322,0,0,0,79.40854322,shuttled most of round
"9,245",34,B3,27.89016618,0,150.5697886,0,0,0,178.4599548,
"6,647",34,B1,43.10983382,0,198.1366043,0,0,0,241.2464381,
"1,540",34,R3,93.65728215,0,372.6822579,0,0,0,466.33954,
88,34,R2,34.34271785,0,129.9091989,0,0,0,164.2519167,j
346,35,B2,25.83030652,0,222.8028001,0,0,0,248.6331066,
"4,400",35,R1,47.39918022,0,236.6721248,0,0,0,284.071305,
"8,373",35,B3,25.94886284,0,88.72760148,0,0,0,114.6764643,power problems
"9,408",35,B1,50.22083063,0,256.4695984,0,0,0,306.690429,
"10,903",35,R3,21.26295583,0,94.87510146,0,0,0,116.1380573,
180,35,R2,25.33786395,0,89.45277378,0,0,0,114.7906377,
"6,036",36,R1,0,0,75.73915999,0,0,0,75.73915999,Consistent
604,36,B2,0,0,233.792122,0,0,0,233.792122,
"4,561",36,B1,20,0,242.207878,0,0,0,262.207878,Shooter stopped working.
195,36,R2,0,0,166.5418583,0,0,0,166.5418583,
"4,561",36,R3,24.62096774,0,38.7580298,0,0,0,63.37899754,
"4,561",36,R3,18.37903226,0,23.96095189,0,0,0,42.33998415,
"3,354",37,R1,0.3507756065,0,84.3674128,0,0,0,84.7181884,
"5,736",37,B2,79.77718299,0,287.7929187,0,0,0,367.5701017,
"2,052",37,R2,0.5412789412,0,55.99357576,0,0,0,56.5348547,
"8,046",37,B1,37.22281701,0,32.20708129,0,0,0,69.42989831,Shooter stopped working.
"3,354",37,R1,88.46253344,0,67.62111729,0,0,0,156.0836507,
"2,052",37,R2,0.9507438397,0,88.16462357,0,0,0,89.11536741,
148,37,R3,0.6946681738,0,85.85327058,0,0,0,86.54793876,
"6,436",38,R3,44.70066807,0,238.6055624,0,0,0,283.3062305,
"10,979",38,B2,0,0,0,0,0,0,2,shot fuel weird- technical problems- couldn't move right
"1,884",38,R2,0,0,0,0,0,0,2,
"5,948",38,B1,27.02222465,0,118.0377391,0,0,0,145.0599638,
"10,553",38,R1,15.29933193,0,46.39443757,0,0,0,61.6937695,
"2,067",38,B3,62.97777535,0,167.9622609,0,0,0,230.9400362,
"6,988",39,R3,0,0,0,0,0,0,2,
386,39,R2,21,0,54.04268778,0,0,0,75.04268778,
599,39,B1,124.1755222,0,590.1231781,0,0,0,714.2987002,
948,39,B3,6.824477822,0,34.87682194,0,0,0,41.70129976,
930,39,R1,0,0,315.9573122,0,0,0,315.9573122,
"2,783",40,R3,55.74177072,0,178.0223707,0,0,0,233.7641415,
"3,966",40,B2,8.930523601,0,79.82796944,0,0,0,88.75849304,
"6,352",40,B2,3.096822226,0,64.94341967,0,0,0,68.04024189,
"2,910",40,R2,70.25822928,0,235.9337485,0,0,0,306.1919778,
"1,902",40,B1,0,0,5.035772382,0,0,0,5.035772382,
"3,005",40,B3,23.97265417,0,90.19283851,0,0,0,114.1654927,
